,17538
1.1.,8701
1.1.1.1.,1236
1.1.1.1.1.1.,406
1.1.1.1.1.1.1.1.1.1.3.5.,1
1.1.1.1.1.1.1.1.1.2.4.7.,70
1.1.1.1.1.1.1.1.1.3.6.,6
1.1.1.1.1.1.1.1.2.2.,2
1.1.1.1.1.1.1.1.2.2.2.3.7.,2
1.1.1.1.1.1.1.1.2.2.3.7.,1
1.1.1.1.1.1.1.1.2.2.4.5.5.,5
1.1.1.1.1.1.1.1.2.2.6.,19
1.1.1.1.1.1.1.1.2.3.3.5.5.,2
1.1.1.1.1.1.1.1.2.3.3.6.,1
1.1.1.1.1.1.1.1.2.3.7.,1
1.1.1.1.1.1.1.1.2.4.,16
1.1.1.1.1.1.1.1.2.4.4.4.,1
1.1.1.1.1.1.1.1.2.4.4.6.,1
1.1.1.1.1.1.1.1.2.4.6.,3
1.1.1.1.1.1.1.1.2.6.,3
1.1.1.1.1.1.1.1.3.3.,1
1.1.1.1.1.1.1.1.3.5.,4
1.1.1.1.1.1.1.1.4.,3
1.1.1.1.1.1.1.2.2.2.3.4.5.5.6.,4
1.1.1.1.1.1.1.2.2.2.4.4.5.6.,2
1.1.1.1.1.1.1.2.2.2.4.5.6.,1
1.1.1.1.1.1.1.2.2.3.,45
1.1.1.1.1.1.1.2.2.3.3.4.5.,2
1.1.1.1.1.1.1.2.2.3.3.5.,4
1.1.1.1.1.1.1.2.2.3.4.5.5.,1
1.1.1.1.1.1.1.2.2.3.4.6.,5
1.1.1.1.1.1.1.2.2.3.5.5.,2
1.1.1.1.1.1.1.2.2.4.4.5.,1
1.1.1.1.1.1.1.2.3.,17
1.1.1.1.1.1.1.2.3.3.3.5.5.6.,1
1.1.1.1.1.1.1.2.3.3.4.4.5.,1
1.1.1.1.1.1.1.2.3.3.4.5.,1
1.1.1.1.1.1.1.2.3.3.5.,3
1.1.1.1.1.1.1.2.3.4.,14
1.1.1.1.1.1.1.2.3.4.4.,9
1.1.1.1.1.1.1.2.3.4.5.5.,3
1.1.1.1.1.1.1.2.4.5.,3
1.1.1.1.1.1.1.3.,90
1.1.1.1.1.1.1.3.3.3.3.3.6.,2
1.1.1.1.1.1.1.3.4.,18
1.1.1.1.1.1.1.3.5.5.,1
1.1.1.1.1.1.1.4.5.,4
1.1.1.1.1.1.2.,260
1.1.1.1.1.1.2.2.,38
1.1.1.1.1.1.2.2.2.,41
1.1.1.1.1.1.2.2.2.2.2.3.5.7.9.,1
1.1.1.1.1.1.2.2.2.2.3.5.6.,2
1.1.1.1.1.1.2.2.2.2.4.4.,3
1.1.1.1.1.1.2.2.2.2.6.8.,1
1.1.1.1.1.1.2.2.2.3.3.,3
1.1.1.1.1.1.2.2.2.3.3.4.,5
1.1.1.1.1.1.2.2.2.3.3.4.7.7.,10
1.1.1.1.1.1.2.2.2.3.3.5.6.7.,1
1.1.1.1.1.1.2.2.2.3.4.4.5.6.,4
1.1.1.1.1.1.2.2.2.3.4.5.,3
1.1.1.1.1.1.2.2.2.3.5.,24
1.1.1.1.1.1.2.2.2.3.5.6.,1
1.1.1.1.1.1.2.2.2.4.4.,4
1.1.1.1.1.1.2.2.2.4.6.,1
1.1.1.1.1.1.2.2.3.3.,144
1.1.1.1.1.1.2.2.3.3.3.3.6.,1
1.1.1.1.1.1.2.2.3.3.3.5.,2
1.1.1.1.1.1.2.2.3.3.4.,93
1.1.1.1.1.1.2.2.3.3.4.6.6.,5
1.1.1.1.1.1.2.2.3.3.5.5.,5
1.1.1.1.1.1.2.2.3.3.6.,3
1.1.1.1.1.1.2.2.3.3.8.,1
1.1.1.1.1.1.2.2.3.4.5.,16
1.1.1.1.1.1.2.2.3.4.7.,1
1.1.1.1.1.1.2.2.3.5.,2
1.1.1.1.1.1.2.2.3.7.,4
1.1.1.1.1.1.2.2.4.,66
1.1.1.1.1.1.2.2.4.4.,12
1.1.1.1.1.1.2.2.4.6.,6
1.1.1.1.1.1.2.2.5.5.,16
1.1.1.1.1.1.2.2.6.,51
1.1.1.1.1.1.2.3.3.,42
1.1.1.1.1.1.2.3.3.3.4.5.,5
1.1.1.1.1.1.2.3.3.3.5.,4
1.1.1.1.1.1.2.3.3.3.5.6.,1
1.1.1.1.1.1.2.3.3.4.,15
1.1.1.1.1.1.2.3.3.4.4.,4
1.1.1.1.1.1.2.3.3.4.6.,1
1.1.1.1.1.1.2.3.3.4.6.6.,6
1.1.1.1.1.1.2.3.3.5.5.,5
1.1.1.1.1.1.2.3.3.6.,2
1.1.1.1.1.1.2.3.4.5.,25
1.1.1.1.1.1.2.3.5.,2
1.1.1.1.1.1.2.3.7.,1
1.1.1.1.1.1.2.4.,45
1.1.1.1.1.1.2.4.4.,26
1.1.1.1.1.1.2.4.6.,4
1.1.1.1.1.1.2.5.5.,99
1.1.1.1.1.1.2.6.,3
1.1.1.1.1.1.3.3.,33
1.1.1.1.1.1.3.3.3.4.5.,1
1.1.1.1.1.1.3.3.3.5.6.,2
1.1.1.1.1.1.3.3.4.,4
1.1.1.1.1.1.3.3.4.4.,3
1.1.1.1.1.1.3.3.4.4.4.,3
1.1.1.1.1.1.3.3.4.4.4.4.,1
1.1.1.1.1.1.3.4.5.,2
1.1.1.1.1.1.3.5.,6
1.1.1.1.1.1.4.,56
1.1.1.1.1.1.4.4.,15
1.1.1.1.1.1.6.,111
1.1.1.1.1.2.2.2.2.2.3.,4
1.1.1.1.1.2.2.2.2.2.3.4.,1
1.1.1.1.1.2.2.2.2.3.,6
1.1.1.1.1.2.2.2.2.3.4.,1
1.1.1.1.1.2.2.2.2.3.4.4.,1
1.1.1.1.1.2.2.2.2.3.4.5.5.,1
1.1.1.1.1.2.2.2.2.3.5.6.7.,4
1.1.1.1.1.2.2.2.2.3.6.,4
1.1.1.1.1.2.2.2.2.4.5.,9
1.1.1.1.1.2.2.2.2.5.,30
1.1.1.1.1.2.2.2.2.7.,1
1.1.1.1.1.2.2.2.3.,48
1.1.1.1.1.2.2.2.3.3.3.,10
1.1.1.1.1.2.2.2.3.3.3.4.,7
1.1.1.1.1.2.2.2.3.3.4.5.,8
1.1.1.1.1.2.2.2.3.3.5.,1
1.1.1.1.1.2.2.2.3.3.5.6.,2
1.1.1.1.1.2.2.2.3.4.,140
1.1.1.1.1.2.2.2.3.4.4.,4
1.1.1.1.1.2.2.2.3.4.4.5.5.,6
1.1.1.1.1.2.2.2.3.4.4.6.,1
1.1.1.1.1.2.2.2.3.4.6.,6
1.1.1.1.1.2.2.2.3.4.6.6.,2
1.1.1.1.1.2.2.2.3.4.7.7.,3
1.1.1.1.1.2.2.2.3.5.5.,22
1.1.1.1.1.2.2.2.3.5.5.6.,2
1.1.1.1.1.2.2.2.3.6.,1
1.1.1.1.1.2.2.2.4.4.5.,12
1.1.1.1.1.2.2.2.4.5.,5
1.1.1.1.1.2.2.2.4.5.6.,1
1.1.1.1.1.2.2.2.4.7.,1
1.1.1.1.1.2.2.2.5.,15
1.1.1.1.1.2.2.3.,113
1.1.1.1.1.2.2.3.3.3.,5
1.1.1.1.1.2.2.3.3.3.3.3.,6
1.1.1.1.1.2.2.3.3.3.4.,4
1.1.1.1.1.2.2.3.3.3.4.4.,5
1.1.1.1.1.2.2.3.3.3.4.6.,5
1.1.1.1.1.2.2.3.3.3.5.5.5.5.6.,4
1.1.1.1.1.2.2.3.3.3.6.,1
1.1.1.1.1.2.2.3.3.4.4.5.,33
1.1.1.1.1.2.2.3.3.4.5.,26
1.1.1.1.1.2.2.3.3.4.5.5.5.,2
1.1.1.1.1.2.2.3.3.5.,20
1.1.1.1.1.2.2.3.3.7.,1
1.1.1.1.1.2.2.3.4.,91
1.1.1.1.1.2.2.3.4.4.,55
1.1.1.1.1.2.2.3.4.4.4.,5
1.1.1.1.1.2.2.3.4.5.5.,2
1.1.1.1.1.2.2.3.4.5.5.6.,1
1.1.1.1.1.2.2.3.6.,1
1.1.1.1.1.2.2.4.4.4.5.,7
1.1.1.1.1.2.2.4.4.5.,2
1.1.1.1.1.2.2.4.5.,16
1.1.1.1.1.2.2.5.,147
1.1.1.1.1.2.2.5.6.,16
1.1.1.1.1.2.3.,819
1.1.1.1.1.2.3.3.3.,27
1.1.1.1.1.2.3.3.3.4.,18
1.1.1.1.1.2.3.3.3.4.4.,1
1.1.1.1.1.2.3.3.3.4.4.4.,1
1.1.1.1.1.2.3.3.3.4.5.5.,6
1.1.1.1.1.2.3.3.3.6.,1
1.1.1.1.1.2.3.3.4.4.4.5.,9
1.1.1.1.1.2.3.3.4.4.5.,66
1.1.1.1.1.2.3.3.4.4.6.7.,6
1.1.1.1.1.2.3.3.4.5.,19
1.1.1.1.1.2.3.3.4.5.6.,2
1.1.1.1.1.2.3.3.4.7.,3
1.1.1.1.1.2.3.3.5.,22
1.1.1.1.1.2.3.3.5.6.,4
1.1.1.1.1.2.3.4.,275
1.1.1.1.1.2.3.4.4.,93
1.1.1.1.1.2.3.4.4.4.,3
1.1.1.1.1.2.3.4.4.4.4.,1
1.1.1.1.1.2.3.4.4.4.5.5.,2
1.1.1.1.1.2.3.4.6.,1
1.1.1.1.1.2.3.5.5.,1
1.1.1.1.1.2.4.5.,63
1.1.1.1.1.2.5.,212
1.1.1.1.1.3.,266
1.1.1.1.1.3.3.3.,12
1.1.1.1.1.3.3.3.4.,1
1.1.1.1.1.3.3.5.,1
1.1.1.1.1.3.4.,156
1.1.1.1.1.3.4.4.,7
1.1.1.1.1.5.,322
1.1.1.1.2.,1995
1.1.1.1.2.2.,530
1.1.1.1.2.2.2.,472
1.1.1.1.2.2.2.2.,37
1.1.1.1.2.2.2.2.2.,189
1.1.1.1.2.2.2.2.2.2.,99
1.1.1.1.2.2.2.2.2.2.3.3.5.7.,2
1.1.1.1.2.2.2.2.2.2.6.8.,1
1.1.1.1.2.2.2.2.2.3.3.,2
1.1.1.1.2.2.2.2.2.3.3.3.5.,1
1.1.1.1.2.2.2.2.2.3.3.3.5.6.,2
1.1.1.1.2.2.2.2.2.3.3.4.,1
1.1.1.1.2.2.2.2.2.3.4.4.5.,2
1.1.1.1.2.2.2.2.2.3.4.5.,1
1.1.1.1.2.2.2.2.2.3.4.7.,1
1.1.1.1.2.2.2.2.2.3.5.,9
1.1.1.1.2.2.2.2.2.3.5.6.8.,1
1.1.1.1.2.2.2.2.2.4.,84
1.1.1.1.2.2.2.2.2.4.4.6.,4
1.1.1.1.2.2.2.2.2.5.7.,29
1.1.1.1.2.2.2.2.3.3.,65
1.1.1.1.2.2.2.2.3.3.3.3.3.5.,1
1.1.1.1.2.2.2.2.3.3.3.3.4.,2
1.1.1.1.2.2.2.2.3.3.3.4.5.,2
1.1.1.1.2.2.2.2.3.3.3.5.,1
1.1.1.1.2.2.2.2.3.3.3.5.5.7.,3
1.1.1.1.2.2.2.2.3.3.3.5.6.,1
1.1.1.1.2.2.2.2.3.3.4.,4
1.1.1.1.2.2.2.2.3.3.4.4.,4
1.1.1.1.2.2.2.2.3.3.4.4.6.,6
1.1.1.1.2.2.2.2.3.3.4.5.7.,2
1.1.1.1.2.2.2.2.3.3.4.6.,1
1.1.1.1.2.2.2.2.3.3.5.7.8.,10
1.1.1.1.2.2.2.2.3.3.6.,1
1.1.1.1.2.2.2.2.3.4.4.5.,60
1.1.1.1.2.2.2.2.3.4.5.,13
1.1.1.1.2.2.2.2.3.4.6.7.,1
1.1.1.1.2.2.2.2.3.4.7.,2
1.1.1.1.2.2.2.2.3.5.,2
1.1.1.1.2.2.2.2.3.5.5.5.,1
1.1.1.1.2.2.2.2.3.5.6.,1
1.1.1.1.2.2.2.2.4.,152
1.1.1.1.2.2.2.2.4.4.,83
1.1.1.1.2.2.2.2.4.4.5.5.,1
1.1.1.1.2.2.2.2.4.4.5.5.6.,7
1.1.1.1.2.2.2.2.4.6.,1
1.1.1.1.2.2.2.2.5.5.,4
1.1.1.1.2.2.2.2.6.,1
1.1.1.1.2.2.2.3.3.,95
1.1.1.1.2.2.2.3.3.3.3.,4
1.1.1.1.2.2.2.3.3.3.3.3.3.4.,2
1.1.1.1.2.2.2.3.3.3.3.3.3.5.7.,6
1.1.1.1.2.2.2.3.3.3.3.4.,4
1.1.1.1.2.2.2.3.3.3.3.4.4.,1
1.1.1.1.2.2.2.3.3.3.3.5.5.,3
1.1.1.1.2.2.2.3.3.3.4.4.5.,3
1.1.1.1.2.2.2.3.3.3.4.5.,5
1.1.1.1.2.2.2.3.3.3.4.5.6.,1
1.1.1.1.2.2.2.3.3.3.5.,28
1.1.1.1.2.2.2.3.3.3.5.5.7.,4
1.1.1.1.2.2.2.3.3.3.5.6.,1
1.1.1.1.2.2.2.3.3.4.,167
1.1.1.1.2.2.2.3.3.4.4.,7
1.1.1.1.2.2.2.3.3.4.4.4.,2
1.1.1.1.2.2.2.3.3.4.4.4.4.,2
1.1.1.1.2.2.2.3.3.4.5.5.,5
1.1.1.1.2.2.2.3.3.4.5.7.,3
1.1.1.1.2.2.2.3.3.5.5.,4
1.1.1.1.2.2.2.3.3.5.5.8.,1
1.1.1.1.2.2.2.3.3.6.,2
1.1.1.1.2.2.2.3.4.4.4.5.,17
1.1.1.1.2.2.2.3.4.4.5.,4
1.1.1.1.2.2.2.3.4.5.,71
1.1.1.1.2.2.2.3.4.5.6.,5
1.1.1.1.2.2.2.3.4.6.7.,4
1.1.1.1.2.2.2.3.5.,39
1.1.1.1.2.2.2.3.5.6.,15
1.1.1.1.2.2.2.3.7.,1
1.1.1.1.2.2.2.4.,317
1.1.1.1.2.2.2.4.4.,111
1.1.1.1.2.2.2.4.4.4.,15
1.1.1.1.2.2.2.4.4.4.5.5.,1
1.1.1.1.2.2.2.4.4.5.5.,3
1.1.1.1.2.2.2.4.6.,3
1.1.1.1.2.2.2.5.5.,16
1.1.1.1.2.2.2.5.7.,69
1.1.1.1.2.2.2.6.,23
1.1.1.1.2.2.3.3.,343
1.1.1.1.2.2.3.3.3.3.,1
1.1.1.1.2.2.3.3.3.3.3.4.5.,4
1.1.1.1.2.2.3.3.3.3.3.5.,4
1.1.1.1.2.2.3.3.3.3.4.,34
1.1.1.1.2.2.3.3.3.3.4.4.,1
1.1.1.1.2.2.3.3.3.3.4.4.4.,90
1.1.1.1.2.2.3.3.3.3.4.5.5.,1
1.1.1.1.2.2.3.3.3.3.4.6.6.,3
1.1.1.1.2.2.3.3.3.3.5.5.5.5.,1
1.1.1.1.2.2.3.3.3.3.6.6.,1
1.1.1.1.2.2.3.3.3.4.4.4.5.,29
1.1.1.1.2.2.3.3.3.4.4.5.,1
1.1.1.1.2.2.3.3.3.4.5.,2
1.1.1.1.2.2.3.3.3.4.5.6.,1
1.1.1.1.2.2.3.3.3.5.,7
1.1.1.1.2.2.3.3.3.5.6.,9
1.1.1.1.2.2.3.3.3.5.6.8.,6
1.1.1.1.2.2.3.3.3.7.,3
1.1.1.1.2.2.3.3.4.,76
1.1.1.1.2.2.3.3.4.4.,28
1.1.1.1.2.2.3.3.4.4.4.,7
1.1.1.1.2.2.3.3.4.4.5.5.,1
1.1.1.1.2.2.3.3.4.4.6.,1
1.1.1.1.2.2.3.3.4.5.5.,4
1.1.1.1.2.2.3.3.4.6.,12
1.1.1.1.2.2.3.3.6.,7
1.1.1.1.2.2.3.4.4.5.,7
1.1.1.1.2.2.3.4.4.5.6.,7
1.1.1.1.2.2.3.4.5.,63
1.1.1.1.2.2.3.5.,75
1.1.1.1.2.2.4.,560
1.1.1.1.2.2.4.4.,158
1.1.1.1.2.2.4.4.4.,4
1.1.1.1.2.2.4.4.6.,1
1.1.1.1.2.2.4.6.,18
1.1.1.1.2.2.6.,4
1.1.1.1.2.3.3.,237
1.1.1.1.2.3.3.3.3.,16
1.1.1.1.2.3.3.3.3.3.4.5.,21
1.1.1.1.2.3.3.3.3.3.4.5.6.,57
1.1.1.1.2.3.3.3.3.3.5.5.5.,3
1.1.1.1.2.3.3.3.3.4.,15
1.1.1.1.2.3.3.3.3.4.4.,1
1.1.1.1.2.3.3.3.3.4.4.4.,3
1.1.1.1.2.3.3.3.3.4.4.6.,2
1.1.1.1.2.3.3.3.3.5.5.,1
1.1.1.1.2.3.3.3.4.4.4.7.8.,2
1.1.1.1.2.3.3.3.4.4.5.,2
1.1.1.1.2.3.3.3.4.5.,10
1.1.1.1.2.3.3.3.4.5.6.,2
1.1.1.1.2.3.3.3.4.5.8.,1
1.1.1.1.2.3.3.3.5.,1
1.1.1.1.2.3.3.3.5.6.,2
1.1.1.1.2.3.3.3.5.8.,1
1.1.1.1.2.3.3.3.7.,1
1.1.1.1.2.3.3.4.,102
1.1.1.1.2.3.3.4.4.,12
1.1.1.1.2.3.3.4.4.4.,1
1.1.1.1.2.3.3.4.4.5.6.7.,1
1.1.1.1.2.3.3.4.4.6.6.,1
1.1.1.1.2.3.3.4.5.5.,2
1.1.1.1.2.3.3.4.5.6.7.,3
1.1.1.1.2.3.3.4.5.7.,1
1.1.1.1.2.3.3.4.6.,9
1.1.1.1.2.3.3.5.5.,2
1.1.1.1.2.3.4.4.5.,1
1.1.1.1.2.3.4.5.,4
1.1.1.1.2.3.5.,60
1.1.1.1.2.4.,660
1.1.1.1.2.4.4.,443
1.1.1.1.2.4.4.4.,2
1.1.1.1.3.3.,189
1.1.1.1.3.3.3.3.,1
1.1.1.1.3.3.3.3.4.,2
1.1.1.1.3.3.3.4.4.5.5.5.,3
1.1.1.1.3.3.3.4.5.,1
1.1.1.1.3.3.3.5.,1
1.1.1.1.3.3.4.,45
1.1.1.1.3.3.4.4.4.4.4.5.6.7.,1
1.1.1.1.3.3.5.5.6.,2
1.1.1.1.3.4.4.4.4.4.5.6.,1
1.1.1.1.3.4.4.5.,1
1.1.1.1.4.,572
1.1.1.2.2.2.2.2.2.2.2.3.,1
1.1.1.2.2.2.2.2.2.2.3.4.4.,2
1.1.1.2.2.2.2.2.2.3.,2
1.1.1.2.2.2.2.2.2.3.3.3.,78
1.1.1.2.2.2.2.2.2.3.4.,4
1.1.1.2.2.2.2.2.2.3.4.4.,8
1.1.1.2.2.2.2.2.2.3.4.5.5.,1
1.1.1.2.2.2.2.2.2.3.4.6.,1
1.1.1.2.2.2.2.2.2.4.5.,6
1.1.1.2.2.2.2.2.2.5.,5
1.1.1.2.2.2.2.2.2.6.7.,1
1.1.1.2.2.2.2.2.3.,48
1.1.1.2.2.2.2.2.3.3.3.,14
1.1.1.2.2.2.2.2.3.3.3.3.4.5.,2
1.1.1.2.2.2.2.2.3.3.3.4.4.6.,18
1.1.1.2.2.2.2.2.3.3.3.4.6.6.,6
1.1.1.2.2.2.2.2.3.3.3.6.,8
1.1.1.2.2.2.2.2.3.3.4.4.5.,4
1.1.1.2.2.2.2.2.3.3.4.5.,1
1.1.1.2.2.2.2.2.3.3.5.,3
1.1.1.2.2.2.2.2.3.4.,16
1.1.1.2.2.2.2.2.3.4.4.4.,1
1.1.1.2.2.2.2.2.3.4.4.5.5.6.,10
1.1.1.2.2.2.2.2.3.4.5.5.,2
1.1.1.2.2.2.2.2.3.4.6.,2
1.1.1.2.2.2.2.2.3.4.7.9.,2
1.1.1.2.2.2.2.2.3.6.,1
1.1.1.2.2.2.2.2.4.4.5.,10
1.1.1.2.2.2.2.2.4.5.,18
1.1.1.2.2.2.2.2.4.5.6.,1
1.1.1.2.2.2.2.2.5.,4
1.1.1.2.2.2.2.2.5.6.,1
1.1.1.2.2.2.2.3.,396
1.1.1.2.2.2.2.3.3.3.,40
1.1.1.2.2.2.2.3.3.3.3.3.,31
1.1.1.2.2.2.2.3.3.3.3.3.4.,1
1.1.1.2.2.2.2.3.3.3.3.3.4.4.6.,11
1.1.1.2.2.2.2.3.3.3.3.3.5.7.,1
1.1.1.2.2.2.2.3.3.3.3.4.4.5.,4
1.1.1.2.2.2.2.3.3.3.3.4.7.,1
1.1.1.2.2.2.2.3.3.3.3.5.,1
1.1.1.2.2.2.2.3.3.3.3.5.5.7.,1
1.1.1.2.2.2.2.3.3.3.3.5.6.,2
1.1.1.2.2.2.2.3.3.3.4.,18
1.1.1.2.2.2.2.3.3.3.4.5.5.,1
1.1.1.2.2.2.2.3.3.3.4.5.5.6.,3
1.1.1.2.2.2.2.3.3.3.4.6.,2
1.1.1.2.2.2.2.3.3.3.4.6.6.,4
1.1.1.2.2.2.2.3.3.3.5.7.,1
1.1.1.2.2.2.2.3.3.3.6.,1
1.1.1.2.2.2.2.3.3.4.4.4.5.,11
1.1.1.2.2.2.2.3.3.4.4.5.,3
1.1.1.2.2.2.2.3.3.4.4.5.6.,7
1.1.1.2.2.2.2.3.3.4.4.7.,1
1.1.1.2.2.2.2.3.3.4.5.,13
1.1.1.2.2.2.2.3.3.4.5.6.,9
1.1.1.2.2.2.2.3.3.5.,61
1.1.1.2.2.2.2.3.3.5.6.,2
1.1.1.2.2.2.2.3.3.6.7.,8
1.1.1.2.2.2.2.3.4.,203
1.1.1.2.2.2.2.3.4.4.,8
1.1.1.2.2.2.2.3.4.4.4.,10
1.1.1.2.2.2.2.3.4.4.4.5.5.,1
1.1.1.2.2.2.2.3.4.4.4.5.7.,3
1.1.1.2.2.2.2.3.4.4.4.6.,18
1.1.1.2.2.2.2.3.4.4.5.5.,1
1.1.1.2.2.2.2.3.4.4.6.,1
1.1.1.2.2.2.2.3.4.5.5.,11
1.1.1.2.2.2.2.3.4.5.5.6.6.,1
1.1.1.2.2.2.2.3.4.6.,2
1.1.1.2.2.2.2.3.4.6.6.,1
1.1.1.2.2.2.2.3.5.5.,3
1.1.1.2.2.2.2.3.5.6.7.,1
1.1.1.2.2.2.2.3.5.7.,1
1.1.1.2.2.2.2.3.6.,3
1.1.1.2.2.2.2.3.6.6.6.,1
1.1.1.2.2.2.2.4.4.5.,24
1.1.1.2.2.2.2.4.4.5.5.5.,2
1.1.1.2.2.2.2.4.5.,87
1.1.1.2.2.2.2.4.5.5.7.,2
1.1.1.2.2.2.2.4.5.6.,1
1.1.1.2.2.2.2.4.7.,1
1.1.1.2.2.2.2.5.,28
