,17538
1.1.1.2.2.2.3.,1600
1.1.1.2.2.2.3.3.3.,80
1.1.1.2.2.2.3.3.3.3.3.,2
1.1.1.2.2.2.3.3.3.3.3.3.3.,28
1.1.1.2.2.2.3.3.3.3.3.3.5.6.,1
1.1.1.2.2.2.3.3.3.3.3.4.5.6.7.,11
1.1.1.2.2.2.3.3.3.3.3.5.5.6.,4
1.1.1.2.2.2.3.3.3.3.3.6.,1
1.1.1.2.2.2.3.3.3.3.4.5.,6
1.1.1.2.2.2.3.3.3.3.5.,2
1.1.1.2.2.2.3.3.3.3.5.5.5.,1
1.1.1.2.2.2.3.3.3.3.6.7.,1
1.1.1.2.2.2.3.3.3.3.7.,50
1.1.1.2.2.2.3.3.3.4.,71
1.1.1.2.2.2.3.3.3.4.4.,4
1.1.1.2.2.2.3.3.3.4.4.4.,5
1.1.1.2.2.2.3.3.3.4.4.5.6.7.,1
1.1.1.2.2.2.3.3.3.4.4.5.7.,1
1.1.1.2.2.2.3.3.3.4.4.6.7.7.,1
1.1.1.2.2.2.3.3.3.4.5.5.,2
1.1.1.2.2.2.3.3.3.4.5.6.8.9.,2
1.1.1.2.2.2.3.3.3.4.5.7.,2
1.1.1.2.2.2.3.3.3.4.6.,2
1.1.1.2.2.2.3.3.3.5.5.,3
1.1.1.2.2.2.3.3.3.5.5.6.,1
1.1.1.2.2.2.3.3.3.5.5.8.,1
1.1.1.2.2.2.3.3.3.6.,1
1.1.1.2.2.2.3.3.4.4.4.5.,3
1.1.1.2.2.2.3.3.4.4.4.5.5.5.,106
1.1.1.2.2.2.3.3.4.4.4.5.6.,4
1.1.1.2.2.2.3.3.4.4.4.5.6.6.,1
1.1.1.2.2.2.3.3.4.4.5.,9
1.1.1.2.2.2.3.3.4.4.6.7.8.,1
1.1.1.2.2.2.3.3.4.5.,107
1.1.1.2.2.2.3.3.4.5.5.5.,1
1.1.1.2.2.2.3.3.4.5.6.,8
1.1.1.2.2.2.3.3.4.5.8.,1
1.1.1.2.2.2.3.3.4.7.,4
1.1.1.2.2.2.3.3.5.,46
1.1.1.2.2.2.3.3.5.5.7.,1
1.1.1.2.2.2.3.3.5.6.,5
1.1.1.2.2.2.3.3.6.7.,1
1.1.1.2.2.2.3.3.7.,1
1.1.1.2.2.2.3.4.,395
1.1.1.2.2.2.3.4.4.,484
1.1.1.2.2.2.3.4.4.4.,3
1.1.1.2.2.2.3.4.4.4.4.6.,1
1.1.1.2.2.2.3.4.4.4.6.,1
1.1.1.2.2.2.3.4.4.5.5.,1
1.1.1.2.2.2.3.4.4.5.7.,55
1.1.1.2.2.2.3.4.4.6.,17
1.1.1.2.2.2.3.4.5.5.,2
1.1.1.2.2.2.3.4.5.7.,7
1.1.1.2.2.2.3.4.6.,13
1.1.1.2.2.2.3.5.5.,2
1.1.1.2.2.2.3.5.5.6.,6
1.1.1.2.2.2.3.5.7.,2
1.1.1.2.2.2.3.6.,14
1.1.1.2.2.2.4.4.4.5.6.,1
1.1.1.2.2.2.4.4.5.,1
1.1.1.2.2.2.4.4.5.6.6.,1
1.1.1.2.2.2.4.5.,203
1.1.1.2.2.2.4.5.5.5.,1
1.1.1.2.2.2.4.7.,3
1.1.1.2.2.2.5.,241
1.1.1.2.2.2.5.6.,8
1.1.1.2.2.3.,1478
1.1.1.2.2.3.3.3.,131
1.1.1.2.2.3.3.3.3.3.,10
1.1.1.2.2.3.3.3.3.3.4.5.5.6.,4
1.1.1.2.2.3.3.3.3.4.4.5.,59
1.1.1.2.2.3.3.3.3.4.4.5.5.6.7.,5
1.1.1.2.2.3.3.3.3.4.4.5.6.,88
1.1.1.2.2.3.3.3.3.4.4.7.8.,2
1.1.1.2.2.3.3.3.3.4.5.,8
1.1.1.2.2.3.3.3.3.4.5.6.,1
1.1.1.2.2.3.3.3.3.5.,84
1.1.1.2.2.3.3.3.3.7.,3
1.1.1.2.2.3.3.3.4.,65
1.1.1.2.2.3.3.3.4.4.,49
1.1.1.2.2.3.3.3.4.4.4.5.6.7.,2
1.1.1.2.2.3.3.3.4.5.5.6.8.,7
1.1.1.2.2.3.3.3.4.5.6.7.8.,1
1.1.1.2.2.3.3.3.4.5.7.,5
1.1.1.2.2.3.3.3.4.6.,3
1.1.1.2.2.3.3.3.4.6.6.6.,1
1.1.1.2.2.3.3.3.4.6.6.7.7.,2
1.1.1.2.2.3.3.3.5.5.,10
1.1.1.2.2.3.3.3.5.5.6.,1
1.1.1.2.2.3.3.3.5.6.7.,2
1.1.1.2.2.3.3.3.6.,25
1.1.1.2.2.3.3.4.4.4.4.5.6.,1
1.1.1.2.2.3.3.4.4.4.5.,55
1.1.1.2.2.3.3.4.4.4.5.6.,2
1.1.1.2.2.3.3.4.4.5.,15
1.1.1.2.2.3.3.4.4.5.6.,1
1.1.1.2.2.3.3.4.4.6.6.7.,2
1.1.1.2.2.3.3.4.5.,138
1.1.1.2.2.3.3.4.5.5.5.6.7.7.,1
1.1.1.2.2.3.3.4.5.6.,3
1.1.1.2.2.3.3.4.5.8.,1
1.1.1.2.2.3.3.4.7.,1
1.1.1.2.2.3.3.5.,131
1.1.1.2.2.3.3.5.5.7.,8
1.1.1.2.2.3.3.5.6.,4
1.1.1.2.2.3.3.5.6.6.,1
1.1.1.2.2.3.3.7.,1
1.1.1.2.2.3.4.,344
1.1.1.2.2.3.4.4.,265
1.1.1.2.2.3.4.4.4.,23
1.1.1.2.2.3.4.4.4.4.,20
1.1.1.2.2.3.4.4.5.5.,5
1.1.1.2.2.3.4.4.5.5.6.7.7.,1
1.1.1.2.2.3.4.5.5.,12
1.1.1.2.2.3.4.5.6.6.6.7.,1
1.1.1.2.2.3.4.5.6.7.,4
1.1.1.2.2.3.4.6.,7
1.1.1.2.2.3.5.5.,56
1.1.1.2.2.3.6.,8
1.1.1.2.2.4.4.4.4.5.,3
1.1.1.2.2.4.4.5.,5
1.1.1.2.2.4.5.,198
1.1.1.2.2.4.5.5.5.,1
1.1.1.2.2.5.,49
1.1.1.2.3.,1845
1.1.1.2.3.3.3.,93
1.1.1.2.3.3.3.3.3.4.4.4.,1
1.1.1.2.3.3.3.3.3.4.6.,13
1.1.1.2.3.3.3.3.3.5.5.,6
1.1.1.2.3.3.3.3.3.6.,2
1.1.1.2.3.3.3.3.4.4.4.5.,16
1.1.1.2.3.3.3.3.4.4.4.6.7.,4
1.1.1.2.3.3.3.3.4.4.5.,10
1.1.1.2.3.3.3.3.4.4.5.8.,2
1.1.1.2.3.3.3.3.4.5.,6
1.1.1.2.3.3.3.3.4.5.6.,3
1.1.1.2.3.3.3.3.5.,2
1.1.1.2.3.3.3.4.,71
1.1.1.2.3.3.3.4.4.,8
1.1.1.2.3.3.3.4.4.4.,3
1.1.1.2.3.3.3.4.4.4.4.4.,2
1.1.1.2.3.3.3.4.4.4.6.,1
1.1.1.2.3.3.3.4.4.5.5.,3
1.1.1.2.3.3.3.4.4.5.5.6.6.8.,2
1.1.1.2.3.3.3.4.4.5.5.6.8.,1
1.1.1.2.3.3.3.4.4.5.7.,1
1.1.1.2.3.3.3.4.4.6.,4
1.1.1.2.3.3.3.4.5.5.6.,1
1.1.1.2.3.3.3.5.5.,3
1.1.1.2.3.3.3.6.,10
1.1.1.2.3.3.4.4.4.4.7.7.7.,1
1.1.1.2.3.3.4.4.4.5.,5
1.1.1.2.3.3.4.4.4.5.5.5.,4
1.1.1.2.3.3.4.4.4.5.5.5.6.,47
1.1.1.2.3.3.4.4.4.5.6.,1
1.1.1.2.3.3.4.4.4.5.6.6.,1
1.1.1.2.3.3.4.4.4.6.6.7.,1
1.1.1.2.3.3.4.4.5.,1
1.1.1.2.3.3.4.4.5.5.5.,1
1.1.1.2.3.3.4.4.5.5.5.6.,1
1.1.1.2.3.3.4.4.5.6.,1
1.1.1.2.3.3.4.4.5.6.8.,1
1.1.1.2.3.3.4.4.7.,37
1.1.1.2.3.3.4.5.,18
1.1.1.2.3.3.4.5.5.5.,1
1.1.1.2.3.3.4.5.5.5.5.5.7.7.8.,90
1.1.1.2.3.3.4.5.6.,1
1.1.1.2.3.3.5.,9
1.1.1.2.3.3.5.6.,1
1.1.1.2.3.4.,448
1.1.1.2.3.4.4.,89
1.1.1.2.3.4.4.4.,6
1.1.1.2.3.4.4.5.5.,81
1.1.1.2.3.4.4.5.5.6.,1
1.1.1.2.3.4.4.6.6.6.,3
1.1.1.2.3.4.5.5.,3
1.1.1.2.4.4.4.4.5.,1
1.1.1.3.,3781
1.1.1.3.3.3.,19
1.1.1.3.3.3.3.3.3.4.4.4.5.,7
1.1.1.3.3.3.3.3.4.4.,2
1.1.1.3.3.3.3.3.4.4.5.5.6.,1
1.1.1.3.3.3.3.3.4.6.,1
1.1.1.3.3.3.3.4.4.4.4.4.5.,4
1.1.1.3.3.3.3.4.4.5.,1
1.1.1.3.3.3.3.4.4.5.6.,1
1.1.1.3.3.3.3.5.,2
1.1.1.3.3.3.4.,1
1.1.1.3.3.3.4.4.,14
1.1.1.3.3.3.4.4.4.4.,1
1.1.1.3.3.3.4.4.4.5.5.,2
1.1.1.3.3.3.4.4.4.6.,1
1.1.1.3.3.3.4.4.5.5.,3
1.1.1.3.3.3.4.4.6.,1
1.1.1.3.3.3.4.5.5.,5
1.1.1.3.3.4.4.4.4.5.,1
1.1.1.3.3.4.4.4.4.5.6.,2
1.1.1.3.3.4.4.4.5.,65
1.1.1.3.3.4.5.,2
1.1.1.3.3.5.5.5.,3
1.1.1.3.4.4.4.4.6.,2
1.1.1.3.4.4.4.5.5.,1
1.1.1.3.4.4.5.5.,11
1.1.2.,12825
1.1.2.2.,2440
1.1.2.2.2.,2994
1.1.2.2.2.2.,316
1.1.2.2.2.2.2.,230
1.1.2.2.2.2.2.2.,115
1.1.2.2.2.2.2.2.2.2.4.,1
1.1.2.2.2.2.2.2.2.3.3.4.,1
1.1.2.2.2.2.2.2.2.3.6.7.,15
1.1.2.2.2.2.2.2.2.4.,4
1.1.2.2.2.2.2.2.2.5.7.,1
1.1.2.2.2.2.2.2.3.3.,2
1.1.2.2.2.2.2.2.3.3.3.5.,2
1.1.2.2.2.2.2.2.3.3.4.,3
1.1.2.2.2.2.2.2.3.3.4.4.6.,2
1.1.2.2.2.2.2.2.3.3.4.5.5.,1
1.1.2.2.2.2.2.2.3.3.4.6.,1
1.1.2.2.2.2.2.2.3.4.4.5.,7
1.1.2.2.2.2.2.2.3.5.,36
1.1.2.2.2.2.2.2.3.5.6.,1
1.1.2.2.2.2.2.2.3.6.7.,1
1.1.2.2.2.2.2.2.4.,9
1.1.2.2.2.2.2.2.4.4.,2
1.1.2.2.2.2.2.2.4.4.6.,6
1.1.2.2.2.2.2.2.4.5.5.,6
1.1.2.2.2.2.2.2.5.5.,5
1.1.2.2.2.2.2.2.6.,1
1.1.2.2.2.2.2.3.3.,53
1.1.2.2.2.2.2.3.3.3.3.4.,4
1.1.2.2.2.2.2.3.3.3.3.5.7.,2
1.1.2.2.2.2.2.3.3.3.3.6.6.,2
1.1.2.2.2.2.2.3.3.3.4.4.5.,19
1.1.2.2.2.2.2.3.3.3.5.,7
1.1.2.2.2.2.2.3.3.4.,105
1.1.2.2.2.2.2.3.3.4.4.,11
1.1.2.2.2.2.2.3.3.8.,1
1.1.2.2.2.2.2.3.4.4.4.5.6.,2
1.1.2.2.2.2.2.3.4.4.5.,7
1.1.2.2.2.2.2.3.4.4.5.5.5.,1
1.1.2.2.2.2.2.3.4.5.,97
1.1.2.2.2.2.2.3.4.5.6.,5
1.1.2.2.2.2.2.3.4.5.6.6.,3
1.1.2.2.2.2.2.3.4.5.8.,1
1.1.2.2.2.2.2.3.4.6.7.,5
1.1.2.2.2.2.2.3.4.7.,2
1.1.2.2.2.2.2.3.5.,17
1.1.2.2.2.2.2.3.5.5.5.6.7.7.,2
1.1.2.2.2.2.2.3.5.6.,1
1.1.2.2.2.2.2.4.,56
1.1.2.2.2.2.2.4.4.,10
1.1.2.2.2.2.2.4.4.4.,5
1.1.2.2.2.2.2.4.5.5.,2
1.1.2.2.2.2.2.4.5.5.6.,1
1.1.2.2.2.2.2.4.5.5.6.6.,1
1.1.2.2.2.2.2.5.7.,2
1.1.2.2.2.2.2.6.,1
1.1.2.2.2.2.3.3.,179
1.1.2.2.2.2.3.3.3.3.,237
1.1.2.2.2.2.3.3.3.3.3.3.,6
1.1.2.2.2.2.3.3.3.3.3.5.6.,1
1.1.2.2.2.2.3.3.3.3.4.,12
1.1.2.2.2.2.3.3.3.3.4.4.,1
1.1.2.2.2.2.3.3.3.3.4.4.4.,1
1.1.2.2.2.2.3.3.3.3.4.6.,1
1.1.2.2.2.2.3.3.3.3.5.5.6.,2
1.1.2.2.2.2.3.3.3.4.4.7.,2
1.1.2.2.2.2.3.3.3.4.5.,14
1.1.2.2.2.2.3.3.3.4.6.7.,9
1.1.2.2.2.2.3.3.3.4.7.,9
1.1.2.2.2.2.3.3.3.5.,18
1.1.2.2.2.2.3.3.3.5.6.,7
1.1.2.2.2.2.3.3.3.7.,3
1.1.2.2.2.2.3.3.4.,50
1.1.2.2.2.2.3.3.4.4.,100
1.1.2.2.2.2.3.3.4.4.4.,7
1.1.2.2.2.2.3.3.4.4.4.4.,5
1.1.2.2.2.2.3.3.4.4.5.5.,1
1.1.2.2.2.2.3.3.4.4.5.5.6.,1
1.1.2.2.2.2.3.3.4.4.6.,13
1.1.2.2.2.2.3.3.4.5.5.,20
1.1.2.2.2.2.3.3.4.5.5.6.8.,1
1.1.2.2.2.2.3.3.4.6.,6
1.1.2.2.2.2.3.3.4.6.6.,1
1.1.2.2.2.2.3.3.4.6.8.,2
1.1.2.2.2.2.3.3.5.5.,104
1.1.2.2.2.2.3.3.5.6.7.,4
1.1.2.2.2.2.3.3.5.7.,3
1.1.2.2.2.2.3.3.6.,6
1.1.2.2.2.2.3.3.6.6.6.,1
1.1.2.2.2.2.3.4.4.4.6.7.,1
1.1.2.2.2.2.3.4.4.5.,21
1.1.2.2.2.2.3.4.4.5.5.6.7.,2
1.1.2.2.2.2.3.4.5.,44
1.1.2.2.2.2.3.4.5.6.,29
1.1.2.2.2.2.3.5.,235
1.1.2.2.2.2.3.5.5.5.,9
1.1.2.2.2.2.3.5.6.,2
1.1.2.2.2.2.4.,160
1.1.2.2.2.2.4.4.,119
1.1.2.2.2.2.4.4.4.,7
1.1.2.2.2.2.4.4.4.5.5.6.,1
1.1.2.2.2.2.4.4.5.5.,1
1.1.2.2.2.2.4.4.5.7.,1
1.1.2.2.2.2.4.4.6.,8
1.1.2.2.2.2.4.5.5.,4
1.1.2.2.2.2.4.5.5.6.,2
1.1.2.2.2.2.4.6.,6
1.1.2.2.2.2.5.5.,101
1.1.2.2.2.2.5.5.6.,1
1.1.2.2.2.3.3.,659
1.1.2.2.2.3.3.3.3.,21
1.1.2.2.2.3.3.3.3.3.3.3.6.7.,5
1.1.2.2.2.3.3.3.3.3.3.4.,44
1.1.2.2.2.3.3.3.3.3.3.5.5.,1
1.1.2.2.2.3.3.3.3.3.4.5.,47
1.1.2.2.2.3.3.3.3.3.4.5.6.6.,5
1.1.2.2.2.3.3.3.3.3.5.,1
1.1.2.2.2.3.3.3.3.3.5.5.5.,1
1.1.2.2.2.3.3.3.3.4.,131
1.1.2.2.2.3.3.3.3.4.4.,116
1.1.2.2.2.3.3.3.3.4.4.4.,1
1.1.2.2.2.3.3.3.3.4.4.4.6.,1
1.1.2.2.2.3.3.3.3.4.4.5.6.7.,1
1.1.2.2.2.3.3.3.3.4.4.6.,4
1.1.2.2.2.3.3.3.3.4.5.5.,25
1.1.2.2.2.3.3.3.3.5.5.5.6.7.8.,3
1.1.2.2.2.3.3.3.3.5.7.,1
1.1.2.2.2.3.3.3.3.6.,1
1.1.2.2.2.3.3.3.3.6.6.,1
1.1.2.2.2.3.3.3.4.4.4.4.5.7.7.,4
1.1.2.2.2.3.3.3.4.4.4.5.,3
1.1.2.2.2.3.3.3.4.4.5.,103
1.1.2.2.2.3.3.3.4.4.5.5.5.,1
1.1.2.2.2.3.3.3.4.4.5.6.,1
1.1.2.2.2.3.3.3.4.4.5.6.6.,2
1.1.2.2.2.3.3.3.4.4.6.6.7.,1
1.1.2.2.2.3.3.3.4.5.,48
1.1.2.2.2.3.3.3.4.5.5.5.,1
1.1.2.2.2.3.3.3.4.5.6.,2
1.1.2.2.2.3.3.3.4.5.8.,1
1.1.2.2.2.3.3.3.4.6.7.,5
1.1.2.2.2.3.3.3.4.7.,2
1.1.2.2.2.3.3.3.5.,108
1.1.2.2.2.3.3.3.5.5.5.,1
1.1.2.2.2.3.3.3.7.,6
1.1.2.2.2.3.3.4.,504
1.1.2.2.2.3.3.4.4.,40
1.1.2.2.2.3.3.4.4.4.,11
1.1.2.2.2.3.3.4.4.4.4.,1
1.1.2.2.2.3.3.4.4.4.4.4.,1
1.1.2.2.2.3.3.4.4.4.4.6.,41
1.1.2.2.2.3.3.4.4.4.5.5.,1
1.1.2.2.2.3.3.4.4.4.6.,4
1.1.2.2.2.3.3.4.4.4.6.6.,1
1.1.2.2.2.3.3.4.4.6.,3
1.1.2.2.2.3.3.4.5.5.,17
1.1.2.2.2.3.3.4.5.6.7.,3
1.1.2.2.2.3.3.4.5.7.,2
1.1.2.2.2.3.3.4.6.,7
1.1.2.2.2.3.3.4.6.6.,1
1.1.2.2.2.3.3.5.5.,63
1.1.2.2.2.3.3.5.5.6.,1
1.1.2.2.2.3.3.6.,32
1.1.2.2.2.3.3.6.6.,13
1.1.2.2.2.3.4.4.4.4.5.,39
1.1.2.2.2.3.4.4.4.5.,59
1.1.2.2.2.3.4.4.4.5.6.,5
1.1.2.2.2.3.4.4.4.7.,2
1.1.2.2.2.3.4.4.5.,81
1.1.2.2.2.3.4.4.5.5.5.,1
1.1.2.2.2.3.4.4.5.5.7.,1
1.1.2.2.2.3.4.4.5.6.6.,1
1.1.2.2.2.3.4.4.5.6.6.6.,2
1.1.2.2.2.3.4.4.7.,1
1.1.2.2.2.3.4.5.,59
1.1.2.2.2.3.4.5.5.5.6.,5
1.1.2.2.2.3.4.5.6.,26
1.1.2.2.2.3.5.,60
1.1.2.2.2.3.5.5.5.,1
1.1.2.2.2.3.5.6.,2
1.1.2.2.2.4.,393
1.1.2.2.2.4.4.,342
1.1.2.2.2.4.4.4.,14
1.1.2.2.2.4.4.4.4.,1
1.1.2.2.2.4.4.4.4.6.,2
1.1.2.2.2.4.4.4.5.5.6.,1
1.1.2.2.2.4.4.4.5.5.6.6.,6
1.1.2.2.2.4.4.6.,2
1.1.2.2.2.4.5.5.,4
1.1.2.2.2.4.5.5.5.5.7.7.7.8.9.,1
1.1.2.2.2.4.5.5.6.,1
1.1.2.2.2.4.6.,36
1.1.2.2.2.5.5.,4
1.1.2.2.3.3.,726
1.1.2.2.3.3.3.3.,291
1.1.2.2.3.3.3.3.3.3.3.5.6.,2
1.1.2.2.3.3.3.3.3.3.4.,3
1.1.2.2.3.3.3.3.3.3.4.5.7.,6
1.1.2.2.3.3.3.3.3.3.6.,1
1.1.2.2.3.3.3.3.3.4.4.4.5.,1
1.1.2.2.3.3.3.3.3.4.4.5.,21
1.1.2.2.3.3.3.3.3.4.5.,64
1.1.2.2.3.3.3.3.3.4.5.5.5.,1
1.1.2.2.3.3.3.3.3.4.5.6.,2
1.1.2.2.3.3.3.3.3.5.,6
1.1.2.2.3.3.3.3.4.,73
1.1.2.2.3.3.3.3.4.4.,6
1.1.2.2.3.3.3.3.4.4.4.,125
1.1.2.2.3.3.3.3.4.4.4.6.,1
1.1.2.2.3.3.3.3.4.4.5.5.6.6.,1
1.1.2.2.3.3.3.3.4.4.6.,4
1.1.2.2.3.3.3.3.4.4.6.6.,1
1.1.2.2.3.3.3.3.4.4.6.8.,1
1.1.2.2.3.3.3.3.4.5.5.,13
1.1.2.2.3.3.3.3.4.5.5.6.6.8.,2
1.1.2.2.3.3.3.3.4.5.6.7.,2
1.1.2.2.3.3.3.3.4.6.,1
1.1.2.2.3.3.3.3.5.5.,5
1.1.2.2.3.3.3.3.5.5.6.8.,2
1.1.2.2.3.3.3.3.5.7.,1
1.1.2.2.3.3.3.3.6.,21
1.1.2.2.3.3.3.3.6.6.7.7.,1
1.1.2.2.3.3.3.4.4.4.5.,1
1.1.2.2.3.3.3.4.4.4.5.6.6.8.,3
1.1.2.2.3.3.3.4.4.4.7.,3
1.1.2.2.3.3.3.4.4.5.,127
1.1.2.2.3.3.3.4.4.5.5.5.,1
1.1.2.2.3.3.3.4.4.5.6.,9
1.1.2.2.3.3.3.4.4.5.6.6.,3
1.1.2.2.3.3.3.4.4.7.,17
1.1.2.2.3.3.3.4.5.,74
1.1.2.2.3.3.3.4.5.5.5.6.,1
1.1.2.2.3.3.3.4.5.5.6.6.7.,2
1.1.2.2.3.3.3.4.5.6.,5
1.1.2.2.3.3.3.4.5.6.6.,3
1.1.2.2.3.3.3.4.5.6.8.,1
1.1.2.2.3.3.3.4.6.7.,1
1.1.2.2.3.3.3.5.,86
1.1.2.2.3.3.3.5.5.5.,3
1.1.2.2.3.3.4.,536
1.1.2.2.3.3.4.4.,285
1.1.2.2.3.3.4.4.4.,24
1.1.2.2.3.3.4.4.4.4.,4
1.1.2.2.3.3.4.4.4.4.4.,1
1.1.2.2.3.3.4.4.4.4.4.6.,3
1.1.2.2.3.3.4.4.4.4.5.5.,1
1.1.2.2.3.3.4.4.4.5.5.6.,3
1.1.2.2.3.3.4.4.4.5.5.6.6.,6
1.1.2.2.3.3.4.4.4.5.7.,1
1.1.2.2.3.3.4.4.4.6.,1
1.1.2.2.3.3.4.4.5.5.5.6.7.8.,1
1.1.2.2.3.3.4.4.6.,10
1.1.2.2.3.3.4.4.6.6.6.,1
1.1.2.2.3.3.4.4.6.7.7.,1
1.1.2.2.3.3.4.5.5.,64
1.1.2.2.3.3.4.5.5.5.7.,5
1.1.2.2.3.3.4.5.5.6.,1
1.1.2.2.3.3.4.5.5.6.8.,1
